,video,image,group_original,group_2,group_3,group_4,group_5
34,2020-09-29-09-46-42-3,970329405s714ms.jpg,1.0,0.0,0.0,0.0,0.0
35,2020-09-29-09-46-42-4,970330071s198ms.jpg,1.0,0.0,0.0,0.0,1.0
36,2020-09-24-3,969904872s188ms.jpg,1.0,0.0,0.0,0.0,1.0
37,2020-09-29-09-46-42-1,970326135s807ms.jpg,2.0,1.0,1.0,2.0,2.0
38,2020-09-29-09-46-42-3,970329656s698ms.jpg,3.0,1.0,1.0,2.0,2.0
39,2020-09-24-4,969906312s679ms.jpg,3.0,1.0,2.0,2.0,3.0
40,2020-09-29-09-46-42-4,970330220s180ms.jpg,1.0,0.0,0.0,0.0,1.0
41,2020-09-29-09-46-42-2,970327052s209ms.jpg,3.0,1.0,2.0,3.0,4.0
42,2020-09-29-09-46-42-3,970329105s714ms.jpg,0.0,0.0,0.0,0.0,0.0
43,2020-09-29-09-46-42-1,970325650s790ms.jpg,1.0,0.0,0.0,1.0,1.0
44,2020-09-29-09-46-42-4,970330392s185ms.jpg,2.0,1.0,1.0,2.0,2.0
45,2020-09-29-09-46-42-1,970325972s811ms.jpg,0.0,0.0,0.0,0.0,0.0
46,2020-09-29-09-46-42-1,970326399s805ms.jpg,0.0,0.0,0.0,0.0,0.0
47,2020-07-28-06-01-11,964868895s714ms.jpg,3.0,1.0,2.0,2.0,3.0
48,2020-09-24-1,969902970s247ms.jpg,2.0,0.0,1.0,1.0,1.0
49,2020-09-29-09-46-42-1,970325919s792ms.jpg,1.0,0.0,1.0,1.0,1.0
50,2020-09-24-1,969902624s235ms.jpg,2.0,0.0,1.0,1.0,2.0
51,2020-09-24-4,969906558s658ms.jpg,1.0,0.0,0.0,1.0,1.0
52,2020-07-28-06-01-11,964869115s700ms.jpg,2.0,0.0,1.0,1.0,2.0
53,2020-07-28-06-01-11,964869239s724ms.jpg,3.0,1.0,2.0,2.0,3.0
54,2020-09-24-3,969905672s187ms.jpg,1.0,0.0,0.0,0.0,0.0
55,2020-09-24-3,969905237s185ms.jpg,1.0,0.0,0.0,1.0,1.0
56,2020-09-29-09-46-42-1,970325739s812ms.jpg,0.0,0.0,0.0,0.0,0.0
57,2020-09-24-4,969906498s665ms.jpg,1.0,0.0,0.0,1.0,1.0
58,2020-09-24-3,969904802s184ms.jpg,2.0,1.0,1.0,2.0,2.0
59,2020-09-23-VIRB0008,969832359s655ms.jpg,3.0,1.0,1.0,2.0,3.0
60,2020-09-24-3,969905535s183ms.jpg,3.0,1.0,2.0,2.0,3.0
61,2020-09-24-1,969902863s241ms.jpg,1.0,0.0,0.0,0.0,0.0
62,2020-09-29-09-46-42-1,970326064s803ms.jpg,2.0,0.0,1.0,1.0,1.0
63,2020-09-24-1,969902347s258ms.jpg,2.0,1.0,1.0,2.0,2.0
64,2020-09-24-4,969906424s658ms.jpg,3.0,1.0,1.0,2.0,3.0
65,2020-09-24-1,969902502s247ms.jpg,3.0,1.0,2.0,3.0,3.0
66,2020-09-24-1,969902431s242ms.jpg,1.0,0.0,0.0,0.0,1.0
67,2020-09-24-3,969905232s180ms.jpg,2.0,0.0,1.0,1.0,2.0
68,2020-09-24-4,969906262s663ms.jpg,3.0,1.0,2.0,2.0,3.0
69,2020-09-29-09-46-42-3,970329718s693ms.jpg,0.0,0.0,0.0,0.0,0.0
70,2020-09-29-09-46-42-3,970328958s700ms.jpg,1.0,0.0,1.0,1.0,1.0
71,2020-09-29-09-46-42-1,970326314s786ms.jpg,3.0,1.0,1.0,2.0,2.0
72,2020-09-24-3,969905220s168ms.jpg,3.0,1.0,1.0,2.0,2.0
73,2020-09-29-09-46-42-3,970328480s689ms.jpg,0.0,0.0,0.0,0.0,0.0
74,2020-09-24-1,969902786s230ms.jpg,0.0,0.0,0.0,0.0,0.0
75,2020-09-24-3,969906143s191ms.jpg,3.0,1.0,2.0,3.0,3.0
76,2020-09-29-09-46-42-3,970328784s693ms.jpg,1.0,0.0,0.0,0.0,0.0
77,2020-09-29-09-46-42-3,970328629s705ms.jpg,3.0,1.0,2.0,3.0,4.0
78,2020-09-29-09-46-42-4,970330037s197ms.jpg,1.0,0.0,0.0,0.0,1.0
79,2020-09-29-09-46-42-1,970326722s794ms.jpg,2.0,0.0,1.0,1.0,2.0
80,2020-09-29-09-46-42-2,970326844s201ms.jpg,3.0,1.0,2.0,3.0,4.0
81,2020-09-24-1,969902769s247ms.jpg,1.0,0.0,1.0,1.0,1.0
82,2020-09-24-1,969901803s248ms.jpg,1.0,0.0,1.0,1.0,1.0
83,2020-09-29-09-46-42-4,970330321s181ms.jpg,1.0,0.0,0.0,0.0,0.0
84,2020-09-24-3,969905240s189ms.jpg,1.0,0.0,0.0,1.0,1.0
85,2020-09-29-09-46-42-1,970325724s797ms.jpg,2.0,0.0,1.0,1.0,2.0
86,2020-09-29-09-46-42-1,970326351s790ms.jpg,1.0,0.0,0.0,1.0,1.0
87,2020-09-29-09-46-42-4,970330400s193ms.jpg,1.0,0.0,0.0,0.0,0.0
88,2020-09-24-1,969902127s239ms.jpg,0.0,0.0,0.0,0.0,0.0
89,2020-09-29-09-46-42-3,970329411s686ms.jpg,0.0,0.0,0.0,0.0,0.0
90,2020-09-24-4,969906512s679ms.jpg,0.0,0.0,0.0,0.0,0.0
91,2020-09-29-09-46-42-1,970326346s785ms.jpg,2.0,0.0,1.0,1.0,2.0
92,2020-07-28-06-01-11,964869871s722ms.jpg,3.0,1.0,2.0,2.0,3.0
93,2020-10-02-10-17-05-3,970588387s240ms.jpg,0.0,0.0,0.0,0.0,0.0
94,2020-09-29-09-46-42-1,970325904s810ms.jpg,3.0,1.0,1.0,2.0,2.0
95,2020-09-29-09-46-42-3,970329180s689ms.jpg,1.0,0.0,0.0,0.0,1.0
96,2020-09-29-09-46-42-4,970330208s201ms.jpg,0.0,0.0,0.0,0.0,0.0
97,2020-09-24-1,969902483s228ms.jpg,3.0,1.0,1.0,2.0,3.0
98,2020-09-24-3,969906130s178ms.jpg,1.0,0.0,0.0,1.0,1.0
99,2020-10-02-10-17-05-3,970588477s264ms.jpg,1.0,0.0,0.0,0.0,0.0
100,2020-09-29-09-46-42-3,970329077s686ms.jpg,0.0,0.0,0.0,0.0,0.0
101,2020-09-23-VIRB0004,969830848s209ms.jpg,3.0,1.0,1.0,2.0,3.0
102,2020-09-24-3,969905051s166ms.jpg,1.0,0.0,0.0,1.0,1.0
103,2020-09-24-3,969905586s167ms.jpg,1.0,0.0,0.0,0.0,1.0
104,2020-09-29-09-46-42-4,970329775s202ms.jpg,3.0,1.0,2.0,2.0,3.0
105,2020-07-28-06-01-11,964869768s719ms.jpg,2.0,0.0,1.0,1.0,2.0
106,2020-09-29-09-46-42-1,970326438s810ms.jpg,1.0,0.0,0.0,1.0,1.0
107,2020-09-29-09-46-42-4,970330354s180ms.jpg,2.0,1.0,1.0,2.0,2.0
108,2020-09-24-4,969906286s653ms.jpg,1.0,0.0,0.0,0.0,0.0
109,2020-09-24-3,969905749s164ms.jpg,0.0,0.0,0.0,0.0,0.0
110,2020-09-23-VIRB0004,969830818s212ms.jpg,3.0,1.0,2.0,3.0,3.0
111,2020-09-24-1,969902811s255ms.jpg,0.0,0.0,0.0,0.0,0.0
112,2020-09-29-09-46-42-1,970325768s808ms.jpg,3.0,1.0,2.0,3.0,4.0
113,2020-09-29-09-46-42-3,970329029s705ms.jpg,0.0,0.0,0.0,0.0,0.0
114,2020-09-29-09-46-42-3,970328455s698ms.jpg,1.0,0.0,0.0,0.0,1.0
115,2020-09-24-2,969903350s681ms.jpg,2.0,0.0,1.0,1.0,2.0
116,2020-09-24-1,969902111s256ms.jpg,1.0,0.0,0.0,1.0,1.0
117,2020-09-24-3,969906011s192ms.jpg,2.0,1.0,1.0,2.0,2.0
118,2020-09-29-09-46-42-2,970326920s210ms.jpg,2.0,0.0,1.0,1.0,2.0
119,2020-09-29-09-46-42-3,970328552s695ms.jpg,1.0,0.0,0.0,0.0,1.0
120,2020-09-29-09-46-42-3,970328624s700ms.jpg,2.0,0.0,1.0,1.0,2.0
121,2020-09-24-1,969902272s250ms.jpg,1.0,0.0,0.0,1.0,1.0
122,2020-09-29-09-46-42-1,970326337s809ms.jpg,2.0,0.0,1.0,1.0,2.0
123,2020-09-29-09-46-42-4,970329791s185ms.jpg,3.0,1.0,2.0,2.0,3.0
124,2020-09-29-09-46-42-1,970325507s813ms.jpg,1.0,0.0,0.0,0.0,0.0
125,2020-07-28-06-01-11,964869860s711ms.jpg,3.0,1.0,2.0,2.0,3.0
126,2020-09-24-3,969905843s191ms.jpg,2.0,0.0,1.0,1.0,2.0
127,2020-09-24-1,969902815s226ms.jpg,0.0,0.0,0.0,0.0,0.0
128,2020-09-29-09-46-42-4,970330153s180ms.jpg,0.0,0.0,0.0,0.0,0.0
129,2020-07-28-06-01-11,964868850s702ms.jpg,1.0,0.0,0.0,0.0,1.0
130,2020-09-29-09-46-42-2,970327030s220ms.jpg,0.0,0.0,0.0,0.0,0.0
131,2020-09-24-4,969906522s656ms.jpg,3.0,1.0,2.0,3.0,3.0
132,2020-09-29-09-46-42-3,970328679s688ms.jpg,2.0,1.0,1.0,2.0,2.0
133,2020-09-29-09-46-42-3,970328829s705ms.jpg,1.0,0.0,0.0,1.0,1.0
134,2020-09-24-3,969905653s168ms.jpg,1.0,0.0,1.0,1.0,1.0
135,2020-09-24-1,969901844s256ms.jpg,0.0,0.0,0.0,0.0,0.0
136,2020-10-02-10-17-05-3,970588578s264ms.jpg,2.0,1.0,1.0,2.0,2.0
137,2020-09-29-09-46-42-3,970328986s695ms.jpg,1.0,0.0,0.0,0.0,0.0
138,2020-09-29-09-46-42-2,970326878s202ms.jpg,1.0,0.0,1.0,1.0,1.0
139,2020-09-29-09-46-42-3,970328519s695ms.jpg,1.0,0.0,0.0,0.0,1.0
140,2020-09-29-09-46-42-1,970326243s782ms.jpg,1.0,0.0,1.0,1.0,1.0
141,2020-09-29-09-46-42-3,970329212s687ms.jpg,0.0,0.0,0.0,0.0,0.0
142,2020-09-29-09-46-42-1,970326327s799ms.jpg,2.0,1.0,1.0,2.0,2.0
143,2020-09-29-09-46-42-1,970325486s792ms.jpg,1.0,0.0,0.0,0.0,1.0
144,2020-07-28-06-01-11,964869925s710ms.jpg,2.0,0.0,1.0,1.0,1.0
145,2020-09-24-3,969905845s193ms.jpg,2.0,1.0,1.0,2.0,2.0
146,2020-09-24-1,969901979s257ms.jpg,1.0,0.0,0.0,1.0,1.0
147,2020-10-02-10-17-05-3,970588444s264ms.jpg,1.0,0.0,0.0,1.0,1.0
148,2020-09-29-09-46-42-3,970329315s690ms.jpg,1.0,0.0,0.0,0.0,0.0
149,2020-09-24-1,969902290s235ms.jpg,0.0,0.0,0.0,0.0,0.0
150,2020-09-29-09-46-42-1,970325629s802ms.jpg,0.0,0.0,0.0,0.0,0.0
151,2020-07-28-06-01-11,964868578s697ms.jpg,1.0,0.0,0.0,0.0,0.0
152,2020-09-24-4,969906497s664ms.jpg,2.0,1.0,1.0,2.0,2.0
153,2020-09-24-1,969902864s242ms.jpg,1.0,0.0,0.0,0.0,0.0
154,2020-09-29-09-46-42-1,970325798s804ms.jpg,2.0,0.0,1.0,1.0,2.0
155,2020-10-02-10-17-05-3,970588326s246ms.jpg,0.0,0.0,0.0,0.0,0.0
156,2020-09-29-09-46-42-1,970326750s789ms.jpg,2.0,0.0,1.0,1.0,2.0
157,2020-09-29-09-46-42-3,970329213s688ms.jpg,1.0,0.0,0.0,1.0,1.0
158,2020-07-28-06-01-11,964868829s715ms.jpg,1.0,0.0,0.0,0.0,1.0
159,2020-07-28-06-01-11,964869480s698ms.jpg,0.0,0.0,0.0,0.0,0.0
160,2020-09-24-1,969902676s254ms.jpg,2.0,0.0,1.0,1.0,2.0
161,2020-09-24-1,969902497s242ms.jpg,1.0,0.0,1.0,1.0,1.0
162,2020-09-23-VIRB0008,969832369s665ms.jpg,3.0,1.0,1.0,2.0,2.0
163,2020-09-29-09-46-42-4,970330370s196ms.jpg,3.0,1.0,2.0,3.0,3.0
164,2020-09-29-09-46-42-1,970326659s798ms.jpg,1.0,0.0,0.0,0.0,1.0
165,2020-07-28-06-01-11,964870000s718ms.jpg,1.0,0.0,0.0,0.0,1.0
166,2020-09-23-VIRB0008,969832412s641ms.jpg,3.0,1.0,1.0,2.0,3.0
167,2020-09-24-4,969906266s667ms.jpg,1.0,0.0,1.0,1.0,1.0
168,2020-09-24-3,969904798s180ms.jpg,3.0,1.0,2.0,2.0,3.0
169,2020-09-29-09-46-42-1,970325883s789ms.jpg,3.0,1.0,2.0,3.0,4.0
170,2020-07-28-06-01-11,964869219s704ms.jpg,1.0,0.0,0.0,1.0,1.0
171,2020-09-29-09-46-42-3,970329729s704ms.jpg,2.0,1.0,1.0,2.0,2.0
172,2020-09-24-3,969904926s175ms.jpg,1.0,0.0,0.0,0.0,1.0
173,2020-09-24-1,969902688s232ms.jpg,0.0,0.0,0.0,0.0,0.0
174,2020-09-29-09-46-42-2,970327041s231ms.jpg,2.0,1.0,1.0,1.0,2.0
175,2020-09-29-09-46-42-2,970327018s208ms.jpg,1.0,0.0,1.0,1.0,1.0
176,2020-09-29-09-46-42-2,970328140s229ms.jpg,2.0,1.0,1.0,2.0,2.0
177,2020-07-28-06-01-11,964869803s721ms.jpg,2.0,0.0,1.0,1.0,2.0
178,2020-09-29-09-46-42-1,970326072s811ms.jpg,2.0,0.0,1.0,1.0,2.0
179,2020-09-29-09-46-42-1,970325775s781ms.jpg,3.0,1.0,2.0,2.0,3.0
180,2020-09-24-3,969905249s164ms.jpg,1.0,0.0,0.0,1.0,1.0
181,2020-09-24-4,969906285s652ms.jpg,2.0,0.0,1.0,1.0,2.0
182,2020-09-24-1,969901802s247ms.jpg,0.0,0.0,0.0,0.0,0.0
183,2020-09-24-3,969905320s168ms.jpg,2.0,0.0,1.0,1.0,2.0
184,2020-09-24-3,969905300s182ms.jpg,2.0,0.0,1.0,1.0,2.0
185,2020-09-29-09-46-42-3,970329215s690ms.jpg,2.0,0.0,1.0,1.0,2.0
186,2020-09-29-09-46-42-1,970325992s798ms.jpg,2.0,1.0,1.0,1.0,2.0
187,2020-09-29-09-46-42-3,970329145s687ms.jpg,0.0,0.0,0.0,0.0,0.0
188,2020-09-24-1,969902703s247ms.jpg,1.0,0.0,0.0,1.0,1.0
189,2020-09-29-09-46-42-1,970326039s812ms.jpg,1.0,0.0,0.0,0.0,1.0
190,2020-10-02-10-17-05-3,970588437s257ms.jpg,3.0,1.0,1.0,2.0,2.0
191,2020-09-24-3,969905209s191ms.jpg,2.0,0.0,1.0,1.0,1.0
192,2020-07-28-06-01-11,964868945s697ms.jpg,2.0,1.0,1.0,2.0,2.0
193,2020-09-24-3,969905435s183ms.jpg,1.0,0.0,0.0,0.0,1.0
194,2020-09-24-4,969906358s659ms.jpg,2.0,0.0,1.0,1.0,2.0
195,2020-09-29-09-46-42-1,970326443s782ms.jpg,2.0,1.0,1.0,1.0,2.0
196,2020-09-29-09-46-42-3,970329648s690ms.jpg,0.0,0.0,0.0,0.0,0.0
197,2020-09-24-3,969904781s197ms.jpg,1.0,0.0,1.0,1.0,1.0
198,2020-09-24-1,969902523s234ms.jpg,1.0,0.0,0.0,1.0,1.0
199,2020-09-29-09-46-42-3,970329424s699ms.jpg,1.0,0.0,1.0,1.0,1.0
200,2020-09-24-3,969905204s186ms.jpg,1.0,0.0,0.0,0.0,0.0
201,2020-09-24-1,969902548s226ms.jpg,1.0,0.0,0.0,1.0,1.0
202,2020-09-24-3,969904844s193ms.jpg,3.0,1.0,2.0,3.0,4.0
203,2020-09-29-09-46-42-4,970330257s184ms.jpg,0.0,0.0,0.0,0.0,0.0
204,2020-09-24-1,969902612s256ms.jpg,3.0,1.0,2.0,2.0,3.0
205,2020-09-24-3,969905253s168ms.jpg,3.0,1.0,1.0,2.0,2.0
206,2020-10-02-10-17-05-3,970588535s255ms.jpg,3.0,1.0,2.0,3.0,4.0
207,2020-09-24-4,969906293s660ms.jpg,1.0,0.0,0.0,0.0,1.0
208,2020-09-29-09-46-42-3,970328842s684ms.jpg,1.0,0.0,0.0,1.0,1.0
209,2020-09-29-09-46-42-3,970329369s711ms.jpg,1.0,0.0,0.0,0.0,0.0
210,2020-09-24-1,969902324s235ms.jpg,2.0,0.0,1.0,1.0,2.0
211,2020-09-29-09-46-42-4,970329810s170ms.jpg,0.0,0.0,0.0,0.0,0.0
212,2020-09-24-4,969906400s667ms.jpg,3.0,1.0,2.0,2.0,3.0
213,2020-09-24-1,969901787s232ms.jpg,0.0,0.0,0.0,0.0,0.0
214,2020-09-24-2,969903319s683ms.jpg,1.0,0.0,0.0,1.0,1.0
215,2020-09-24-3,969905640s188ms.jpg,1.0,0.0,0.0,0.0,1.0
216,2020-07-28-06-01-11,964869521s706ms.jpg,2.0,0.0,1.0,1.0,2.0
217,2020-09-24-1,969902441s252ms.jpg,3.0,1.0,1.0,2.0,3.0
218,2020-09-29-09-46-42-2,970328184s206ms.jpg,3.0,1.0,1.0,2.0,3.0
219,2020-09-24-3,969905683s164ms.jpg,0.0,0.0,0.0,0.0,0.0
220,2020-09-24-3,969905155s170ms.jpg,2.0,1.0,1.0,1.0,2.0
221,2020-09-23-VIRB0008,969832335s664ms.jpg,2.0,1.0,1.0,2.0,2.0
222,2020-10-02-10-17-05-3,970588413s266ms.jpg,2.0,0.0,1.0,1.0,2.0
223,2020-10-02-10-17-05-3,970588273s260ms.jpg,1.0,0.0,0.0,0.0,0.0
224,2020-09-29-09-46-42-4,970330139s199ms.jpg,0.0,0.0,0.0,0.0,0.0
225,2020-09-29-09-46-42-3,970329260s702ms.jpg,1.0,0.0,1.0,1.0,1.0
226,2020-07-28-06-01-11,964868702s721ms.jpg,3.0,1.0,2.0,2.0,3.0
227,2020-09-24-3,969906111s192ms.jpg,1.0,0.0,1.0,1.0,1.0
228,2020-09-24-3,969905156s171ms.jpg,3.0,1.0,1.0,2.0,2.0
229,2020-09-29-09-46-42-1,970325514s787ms.jpg,0.0,0.0,0.0,0.0,0.0
230,2020-10-02-10-17-05-3,970588361s248ms.jpg,1.0,0.0,0.0,0.0,0.0
231,2020-07-28-06-01-11,964869891s709ms.jpg,3.0,1.0,1.0,2.0,3.0
232,2020-09-29-09-46-42-1,970326375s781ms.jpg,1.0,0.0,0.0,0.0,0.0
233,2020-09-24-4,969906477s677ms.jpg,2.0,0.0,1.0,1.0,2.0
234,2020-09-29-09-46-42-1,970326727s799ms.jpg,0.0,0.0,0.0,0.0,0.0
235,2020-09-29-09-46-42-1,970326488s793ms.jpg,0.0,0.0,0.0,0.0,0.0
236,2020-09-24-1,969901848s227ms.jpg,1.0,0.0,0.0,0.0,0.0
237,2020-09-24-3,969905956s170ms.jpg,1.0,0.0,1.0,1.0,1.0
238,2020-09-29-09-46-42-1,970326525s797ms.jpg,0.0,0.0,0.0,0.0,0.0
239,2020-10-02-10-17-05-3,970588567s254ms.jpg,1.0,0.0,0.0,1.0,1.0
240,2020-09-29-09-46-42-4,970329944s171ms.jpg,1.0,0.0,0.0,0.0,1.0
241,2020-09-24-3,969905060s175ms.jpg,3.0,1.0,2.0,2.0,3.0
242,2020-07-28-06-01-11,964869606s724ms.jpg,1.0,0.0,0.0,1.0,1.0
243,2020-09-29-09-46-42-1,970325879s785ms.jpg,3.0,1.0,2.0,2.0,3.0
244,2020-10-02-10-17-05-3,970588484s271ms.jpg,1.0,0.0,1.0,1.0,1.0
245,2020-09-24-3,969905692s173ms.jpg,1.0,0.0,0.0,0.0,0.0
246,2020-09-29-09-46-42-3,970329355s697ms.jpg,3.0,1.0,2.0,3.0,3.0
247,2020-07-28-06-01-11,964868835s721ms.jpg,2.0,0.0,1.0,1.0,2.0
248,2020-10-02-10-17-05-3,970588270s257ms.jpg,1.0,0.0,0.0,1.0,1.0
249,2020-09-24-3,969905784s165ms.jpg,0.0,0.0,0.0,0.0,0.0
250,2020-09-29-09-46-42-4,970329813s173ms.jpg,2.0,0.0,1.0,1.0,2.0
251,2020-09-24-3,969905429s177ms.jpg,1.0,0.0,0.0,1.0,1.0
252,2020-09-24-3,969905595s176ms.jpg,1.0,0.0,0.0,0.0,0.0
253,2020-09-29-09-46-42-3,970329344s686ms.jpg,3.0,1.0,2.0,2.0,3.0
254,2020-09-24-3,969905177s192ms.jpg,0.0,0.0,0.0,0.0,0.0
255,2020-09-24-3,969905108s190ms.jpg,0.0,0.0,0.0,0.0,0.0
256,2020-09-29-09-46-42-4,970330226s186ms.jpg,0.0,0.0,0.0,0.0,0.0
257,2020-09-29-09-46-42-3,970328621s697ms.jpg,2.0,1.0,1.0,1.0,2.0
258,2020-09-24-1,969902337s248ms.jpg,0.0,0.0,0.0,0.0,0.0
259,2020-07-28-06-01-11,964869851s702ms.jpg,3.0,1.0,2.0,2.0,3.0
260,2020-09-29-09-46-42-3,970328274s717ms.jpg,3.0,1.0,2.0,3.0,4.0
261,2020-09-29-09-46-42-3,970329316s691ms.jpg,1.0,0.0,0.0,0.0,0.0
262,2020-09-24-3,969905476s191ms.jpg,0.0,0.0,0.0,0.0,0.0
263,2020-09-29-09-46-42-4,970330104s197ms.jpg,0.0,0.0,0.0,0.0,0.0
264,2020-09-29-09-46-42-3,970329308s717ms.jpg,2.0,0.0,1.0,1.0,2.0
265,2020-09-24-3,969905882s197ms.jpg,1.0,0.0,0.0,0.0,1.0
266,2020-09-24-3,969905903s184ms.jpg,3.0,1.0,2.0,3.0,3.0
267,2020-09-29-09-46-42-3,970329185s694ms.jpg,1.0,0.0,0.0,0.0,0.0
268,2020-09-24-3,969905559s174ms.jpg,1.0,0.0,1.0,1.0,1.0
269,2020-09-29-09-46-42-1,970325990s796ms.jpg,0.0,0.0,0.0,0.0,0.0
270,2020-09-29-09-46-42-1,970325601s807ms.jpg,1.0,0.0,0.0,1.0,1.0
271,2020-09-24-1,969902352s230ms.jpg,1.0,0.0,0.0,0.0,0.0
272,2020-09-29-09-46-42-2,970326832s222ms.jpg,1.0,0.0,0.0,0.0,1.0
273,2020-07-28-06-01-11,964869880s698ms.jpg,3.0,1.0,2.0,2.0,3.0
274,2020-07-28-06-01-11,964869599s717ms.jpg,3.0,1.0,2.0,3.0,4.0
275,2020-09-29-09-46-42-1,970326033s806ms.jpg,2.0,0.0,1.0,1.0,2.0
276,2020-09-29-09-46-42-3,970328349s692ms.jpg,0.0,0.0,0.0,0.0,0.0
277,2020-10-02-10-17-05-3,970588172s259ms.jpg,0.0,0.0,0.0,0.0,0.0
278,2020-09-23-VIRB0004,969830821s215ms.jpg,3.0,1.0,1.0,2.0,3.0
279,2020-09-24-3,969905197s179ms.jpg,0.0,0.0,0.0,0.0,0.0
280,2020-09-24-3,969905191s173ms.jpg,1.0,0.0,0.0,0.0,0.0
281,2020-09-24-3,969905130s179ms.jpg,0.0,0.0,0.0,0.0,0.0
282,2020-09-24-3,969904947s196ms.jpg,3.0,1.0,1.0,2.0,2.0
283,2020-09-29-09-46-42-3,970329535s710ms.jpg,3.0,1.0,1.0,2.0,2.0
284,2020-09-23-VIRB0004,969830843s204ms.jpg,3.0,1.0,2.0,2.0,3.0
285,2020-09-24-4,969906476s676ms.jpg,2.0,1.0,1.0,2.0,2.0
286,2020-09-29-09-46-42-3,970329350s692ms.jpg,3.0,1.0,1.0,2.0,3.0
287,2020-09-29-09-46-42-1,970325896s802ms.jpg,1.0,0.0,0.0,0.0,0.0
288,2020-09-24-3,969905044s193ms.jpg,1.0,0.0,0.0,1.0,1.0
289,2020-09-24-1,969902136s248ms.jpg,0.0,0.0,0.0,0.0,0.0
290,2020-09-24-1,969902743s254ms.jpg,0.0,0.0,0.0,0.0,0.0
291,2020-09-29-09-46-42-1,970325527s800ms.jpg,2.0,0.0,1.0,1.0,2.0
292,2020-09-24-3,969905915s196ms.jpg,1.0,0.0,0.0,1.0,1.0
293,2020-09-24-1,969902731s242ms.jpg,1.0,0.0,0.0,1.0,1.0
294,2020-09-29-09-46-42-3,970328904s713ms.jpg,3.0,1.0,2.0,3.0,4.0
295,2020-09-24-1,969901828s240ms.jpg,1.0,0.0,0.0,0.0,1.0
296,2020-09-29-09-46-42-4,970330302s195ms.jpg,0.0,0.0,0.0,0.0,0.0
297,2020-10-02-10-17-05-3,970588340s260ms.jpg,1.0,0.0,1.0,1.0,1.0
298,2020-09-29-09-46-42-3,970328827s703ms.jpg,2.0,0.0,1.0,1.0,2.0
299,2020-09-29-09-46-42-3,970328806s715ms.jpg,0.0,0.0,0.0,0.0,0.0
