video,image,group_2,group_3,group_4,group_original,dataset
2020-09-29-09-46-42-1,970325542s782ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905172s187ms.jpg,0.0,0.0,0.0,1.0,train
2020-10-02-10-17-05-3,970588215s269ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-2,970326875s199ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902163s241ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-3,970329008s717ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969901994s239ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-2,970326872s229ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-2,970327007s230ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902496s241ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-3,970328698s707ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905532s180ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-23-VIRB0004,969830852s213ms.jpg,1.0,2.0,3.0,3.0,train
2020-09-29-09-46-42-1,970325637s810ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902761s239ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902052s230ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325844s783ms.jpg,1.0,2.0,3.0,3.0,train
2020-09-24-1,969902474s252ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-3,969904913s195ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-1,970325962s801ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326149s788ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-24-1,969902812s256ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970329292s701ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-1,970326490s795ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325544s784ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326155s794ms.jpg,0.0,0.0,0.0,1.0,train
2020-07-28-06-01-11,964869219s704ms.jpg,1.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328943s685ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902974s251ms.jpg,0.0,0.0,0.0,1.0,train
2020-10-02-10-17-05-3,970588190s244ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902626s237ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326726s798ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325772s811ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-1,970325989s795ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902863s241ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328718s694ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-2,970328135s224ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-3,969904884s166ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-24-1,969902977s254ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905313s195ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326414s786ms.jpg,0.0,0.0,1.0,1.0,train
2020-07-28-06-01-11,964868844s696ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970329280s689ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970329002s711ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326279s785ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326362s801ms.jpg,1.0,1.0,1.0,2.0,train
2020-10-02-10-17-05-3,970588173s260ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328464s707ms.jpg,0.0,0.0,0.0,1.0,train
2020-10-02-10-17-05-3,970588285s272ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326128s800ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326176s782ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-3,969905066s181ms.jpg,1.0,2.0,3.0,3.0,train
2020-09-24-1,969902067s245ms.jpg,0.0,0.0,0.0,1.0,train
2020-07-28-06-01-11,964869671s723ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-24-3,969904810s192ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902107s252ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902148s226ms.jpg,0.0,0.0,0.0,0.0,train
2020-07-28-06-01-11,964869656s708ms.jpg,1.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326415s787ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328340s716ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326719s791ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969901874s253ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902217s229ms.jpg,1.0,2.0,2.0,3.0,train
2020-10-02-10-17-05-3,970588326s246ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969901847s226ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329088s697ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328343s686ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-23-VIRB0004,969830826s220ms.jpg,1.0,2.0,3.0,3.0,train
2020-09-24-3,969904993s175ms.jpg,0.0,1.0,1.0,1.0,train
2020-10-02-10-17-05-3,970588192s246ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328855s697ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905522s170ms.jpg,0.0,0.0,0.0,1.0,train
2020-07-28-06-01-11,964868811s697ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328818s694ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325982s788ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969901858s237ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969901802s247ms.jpg,0.0,0.0,0.0,1.0,train
2020-07-28-06-01-11,964869729s714ms.jpg,1.0,2.0,3.0,3.0,train
2020-09-29-09-46-42-3,970329038s714ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326010s783ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902065s243ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325646s786ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328646s689ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902752s230ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-3,969905408s190ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-24-2,969903463s693ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326201s807ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-3,969905249s164ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329113s688ms.jpg,0.0,0.0,0.0,1.0,train
2020-10-02-10-17-05-3,970588337s257ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902611s255ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328537s713ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328517s693ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326465s804ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328368s711ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326410s782ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902075s253ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325663s803ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328491s700ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-24-3,969905539s187ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-24-3,969904760s176ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969903037s248ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326464s803ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326294s800ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902136s248ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905473s188ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328749s691ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328597s706ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-2,970328192s214ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902749s227ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905278s193ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902619s230ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-24-1,969902098s243ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902685s229ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-2,970326929s219ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-2,970326981s204ms.jpg,1.0,2.0,3.0,3.0,train
2020-09-23-VIRB0008,969832342s638ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-3,970328709s685ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326136s808ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-24-1,969902184s229ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-3,969905403s185ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902263s241ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-24-1,969901833s245ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969901879s258ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-2,970326780s204ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326030s803ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-2,970326861s218ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969901776s255ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329194s703ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970329082s691ms.jpg,0.0,0.0,0.0,0.0,train
2020-07-28-06-01-11,964869525s710ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328983s692ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325898s804ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902962s239ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328412s688ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902586s230ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905031s180ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970329263s705ms.jpg,0.0,1.0,1.0,2.0,train
2020-10-02-10-17-05-3,970588114s268ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902008s253ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325889s795ms.jpg,1.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326264s803ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325530s803ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-24-3,969905034s183ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902362s240ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328676s685ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-3,970328745s688ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970329036s712ms.jpg,0.0,0.0,0.0,0.0,train
2020-07-28-06-01-11,964868807s726ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-1,970325858s797ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-3,970328590s699ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329158s700ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325484s790ms.jpg,0.0,0.0,0.0,1.0,train
2020-07-28-06-01-11,964869475s727ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328545s688ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-24-1,969902055s233ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902741s252ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970329208s717ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-2,970326935s225ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-2,970328184s206ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-2,970327015s205ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326509s781ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-2,970327047s204ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-2,970326812s202ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970329188s697ms.jpg,0.0,0.0,0.0,1.0,train
2020-07-28-06-01-11,964868831s717ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-3,969904823s172ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-1,970326126s798ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-24-1,969902290s235ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326660s799ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326315s787ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-24-1,969902563s241ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902666s244ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-2,969903320s684ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-24-1,969902412s257ms.jpg,1.0,1.0,1.0,2.0,train
2020-09-24-1,969901955s233ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902146s258ms.jpg,0.0,0.0,0.0,0.0,train
2020-10-02-10-17-05-3,970588346s266ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902195s240ms.jpg,0.0,1.0,1.0,1.0,train
2020-10-02-10-17-05-3,970588179s266ms.jpg,1.0,1.0,1.0,2.0,train
2020-09-24-3,969904784s166ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328467s710ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-1,970325961s800ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326066s805ms.jpg,0.0,1.0,1.0,1.0,train
2020-10-02-10-17-05-3,970588330s250ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-2,970327023s213ms.jpg,1.0,1.0,2.0,3.0,train
2020-07-28-06-01-11,964869261s713ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328934s710ms.jpg,0.0,1.0,1.0,1.0,train
2020-07-28-06-01-11,964869508s726ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328798s707ms.jpg,0.0,0.0,0.0,0.0,train
2020-07-28-06-01-11,964868716s702ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-3,970328968s710ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325681s787ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902573s251ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325620s793ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-24-3,969904989s171ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-2,970326959s216ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-1,970326354s793ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-1,970326661s800ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-2,969903268s699ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-3,970328444s687ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325524s797ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328659s702ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328589s698ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-2,970326974s231ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902845s256ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-23-VIRB0008,969832352s648ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-3,970328708s717ms.jpg,0.0,0.0,0.0,1.0,train
2020-07-28-06-01-11,964868548s701ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-24-3,969905058s173ms.jpg,0.0,0.0,0.0,1.0,train
