video,image,image_mask,group_2,group_3,group_4,group_original,dataset
2020-09-29-09-46-42-1,970325701s807ms.jpg,970325701s807ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328671s714ms.jpg,970328671s714ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328677s686ms.jpg,970328677s686ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970329050s692ms.jpg,970329050s692ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-3,969904774s190ms.jpg,969904774s190ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325639s812ms.jpg,970325639s812ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-3,969905149s164ms.jpg,969905149s164ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902433s244ms.jpg,969902433s244ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905254s169ms.jpg,969905254s169ms.png,1.0,1.0,2.0,3.0,train
2020-09-23-VIRB0004,969830843s204ms.jpg,969830843s204ms.png,1.0,2.0,3.0,3.0,train
2020-09-24-1,969902280s258ms.jpg,969902280s258ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328507s716ms.jpg,970328507s716ms.png,1.0,1.0,2.0,2.0,train
2020-09-24-3,969904815s164ms.jpg,969904815s164ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-2,970328233s222ms.jpg,970328233s222ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328556s699ms.jpg,970328556s699ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325941s814ms.jpg,970325941s814ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902024s236ms.jpg,969902024s236ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902266s244ms.jpg,969902266s244ms.png,0.0,1.0,1.0,1.0,train
2020-09-24-3,969905026s175ms.jpg,969905026s175ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329198s707ms.jpg,970329198s707ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326538s810ms.jpg,970326538s810ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902805s249ms.jpg,969902805s249ms.png,0.0,0.0,1.0,1.0,train
2020-10-02-10-17-05-3,970588317s270ms.jpg,970588317s270ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326632s804ms.jpg,970326632s804ms.png,0.0,1.0,1.0,1.0,train
2020-09-24-1,969902693s237ms.jpg,969902693s237ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328528s704ms.jpg,970328528s704ms.png,1.0,1.0,1.0,2.0,train
2020-09-24-1,969902846s257ms.jpg,969902846s257ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902917s228ms.jpg,969902917s228ms.png,0.0,1.0,1.0,2.0,train
2020-10-02-10-17-05-3,970588117s271ms.jpg,970588117s271ms.png,1.0,2.0,3.0,3.0,train
2020-09-29-09-46-42-1,970326434s806ms.jpg,970326434s806ms.png,1.0,1.0,2.0,2.0,train
2020-09-24-1,969902528s239ms.jpg,969902528s239ms.png,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-1,970325747s787ms.jpg,970325747s787ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326055s794ms.jpg,970326055s794ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326110s782ms.jpg,970326110s782ms.png,1.0,1.0,2.0,3.0,train
2020-10-02-10-17-05-3,970588354s241ms.jpg,970588354s241ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326033s806ms.jpg,970326033s806ms.png,1.0,1.0,2.0,3.0,train
2020-09-24-1,969902267s245ms.jpg,969902267s245ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325899s805ms.jpg,970325899s805ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902575s253ms.jpg,969902575s253ms.png,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-1,970325878s784ms.jpg,970325878s784ms.png,1.0,1.0,2.0,3.0,train
2020-09-24-1,969902672s250ms.jpg,969902672s250ms.png,0.0,1.0,1.0,1.0,train
2020-09-24-1,969902608s252ms.jpg,969902608s252ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328420s696ms.jpg,970328420s696ms.png,1.0,1.0,2.0,3.0,train
2020-09-24-3,969905351s166ms.jpg,969905351s166ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902035s247ms.jpg,969902035s247ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905152s167ms.jpg,969905152s167ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325749s789ms.jpg,970325749s789ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328681s690ms.jpg,970328681s690ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326091s797ms.jpg,970326091s797ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326098s804ms.jpg,970326098s804ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-3,969905355s170ms.jpg,969905355s170ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325872s811ms.jpg,970325872s811ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-3,969904877s193ms.jpg,969904877s193ms.png,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902529s240ms.jpg,969902529s240ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328999s708ms.jpg,970328999s708ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970329295s704ms.jpg,970329295s704ms.png,1.0,2.0,3.0,3.0,train
2020-09-29-09-46-42-1,970326178s784ms.jpg,970326178s784ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969904782s164ms.jpg,969904782s164ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325799s805ms.jpg,970325799s805ms.png,1.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970329035s711ms.jpg,970329035s711ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326182s788ms.jpg,970326182s788ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325987s793ms.jpg,970325987s793ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902252s230ms.jpg,969902252s230ms.png,0.0,1.0,1.0,2.0,train
2020-10-02-10-17-05-3,970588243s263ms.jpg,970588243s263ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970325542s782ms.jpg,970325542s782ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905172s187ms.jpg,969905172s187ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-2,970326875s199ms.jpg,970326875s199ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329008s717ms.jpg,970329008s717ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969901994s239ms.jpg,969901994s239ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-2,970327007s230ms.jpg,970327007s230ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902496s241ms.jpg,969902496s241ms.png,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-3,970328698s707ms.jpg,970328698s707ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905532s180ms.jpg,969905532s180ms.png,0.0,1.0,1.0,1.0,train
2020-09-23-VIRB0004,969830852s213ms.jpg,969830852s213ms.png,1.0,2.0,3.0,3.0,train
2020-09-29-09-46-42-1,970325637s810ms.jpg,970325637s810ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902761s239ms.jpg,969902761s239ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902052s230ms.jpg,969902052s230ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325844s783ms.jpg,970325844s783ms.png,1.0,2.0,3.0,3.0,train
2020-09-24-1,969902474s252ms.jpg,969902474s252ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-3,969904913s195ms.jpg,969904913s195ms.png,1.0,1.0,2.0,3.0,train
2020-09-24-1,969902812s256ms.jpg,969902812s256ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970329292s701ms.jpg,970329292s701ms.png,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-1,970326490s795ms.jpg,970326490s795ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325544s784ms.jpg,970325544s784ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326155s794ms.jpg,970326155s794ms.png,0.0,0.0,0.0,1.0,train
2020-07-28-06-01-11,964869219s704ms.jpg,964869219s704ms.png,1.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328943s685ms.jpg,970328943s685ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902974s251ms.jpg,969902974s251ms.png,0.0,0.0,0.0,1.0,train
2020-10-02-10-17-05-3,970588190s244ms.jpg,970588190s244ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902626s237ms.jpg,969902626s237ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326726s798ms.jpg,970326726s798ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325989s795ms.jpg,970325989s795ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902863s241ms.jpg,969902863s241ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328718s694ms.jpg,970328718s694ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-2,970328135s224ms.jpg,970328135s224ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-3,969904884s166ms.jpg,969904884s166ms.png,1.0,1.0,2.0,2.0,train
2020-09-24-1,969902977s254ms.jpg,969902977s254ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905313s195ms.jpg,969905313s195ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329002s711ms.jpg,970329002s711ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326362s801ms.jpg,970326362s801ms.png,1.0,1.0,1.0,2.0,train
2020-10-02-10-17-05-3,970588173s260ms.jpg,970588173s260ms.png,0.0,0.0,0.0,0.0,train
2020-10-02-10-17-05-3,970588285s272ms.jpg,970588285s272ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326128s800ms.jpg,970326128s800ms.png,0.0,1.0,1.0,1.0,train
2020-09-24-3,969905066s181ms.jpg,969905066s181ms.png,1.0,2.0,3.0,3.0,train
2020-09-24-3,969904810s192ms.jpg,969904810s192ms.png,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902148s226ms.jpg,969902148s226ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326415s787ms.jpg,970326415s787ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326719s791ms.jpg,970326719s791ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969901874s253ms.jpg,969901874s253ms.png,0.0,0.0,1.0,1.0,train
2020-10-02-10-17-05-3,970588326s246ms.jpg,970588326s246ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-1,969901847s226ms.jpg,969901847s226ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329088s697ms.jpg,970329088s697ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328343s686ms.jpg,970328343s686ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-3,969904993s175ms.jpg,969904993s175ms.png,0.0,1.0,1.0,1.0,train
2020-10-02-10-17-05-3,970588192s246ms.jpg,970588192s246ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328855s697ms.jpg,970328855s697ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905522s170ms.jpg,969905522s170ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969901858s237ms.jpg,969901858s237ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970329038s714ms.jpg,970329038s714ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326010s783ms.jpg,970326010s783ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325646s786ms.jpg,970325646s786ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328646s689ms.jpg,970328646s689ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902752s230ms.jpg,969902752s230ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-3,969905408s190ms.jpg,969905408s190ms.png,1.0,1.0,2.0,2.0,train
2020-09-24-3,969905249s164ms.jpg,969905249s164ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329113s688ms.jpg,970329113s688ms.png,0.0,0.0,0.0,1.0,train
2020-10-02-10-17-05-3,970588337s257ms.jpg,970588337s257ms.png,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902611s255ms.jpg,969902611s255ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328537s713ms.jpg,970328537s713ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328517s693ms.jpg,970328517s693ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326465s804ms.jpg,970326465s804ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328368s711ms.jpg,970328368s711ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902075s253ms.jpg,969902075s253ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325663s803ms.jpg,970325663s803ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905539s187ms.jpg,969905539s187ms.png,1.0,1.0,2.0,2.0,train
2020-09-24-3,969904760s176ms.jpg,969904760s176ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326464s803ms.jpg,970326464s803ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326294s800ms.jpg,970326294s800ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905473s188ms.jpg,969905473s188ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328749s691ms.jpg,970328749s691ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328597s706ms.jpg,970328597s706ms.png,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-2,970328192s214ms.jpg,970328192s214ms.png,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902749s227ms.jpg,969902749s227ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905278s193ms.jpg,969905278s193ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902619s230ms.jpg,969902619s230ms.png,0.0,1.0,1.0,1.0,train
2020-09-24-1,969902098s243ms.jpg,969902098s243ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902685s229ms.jpg,969902685s229ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-2,970326929s219ms.jpg,970326929s219ms.png,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-2,970326981s204ms.jpg,970326981s204ms.png,1.0,2.0,3.0,3.0,train
2020-09-29-09-46-42-3,970328709s685ms.jpg,970328709s685ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326136s808ms.jpg,970326136s808ms.png,1.0,1.0,2.0,2.0,train
2020-09-24-1,969902184s229ms.jpg,969902184s229ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-3,969905403s185ms.jpg,969905403s185ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902263s241ms.jpg,969902263s241ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-2,970326780s204ms.jpg,970326780s204ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326030s803ms.jpg,970326030s803ms.png,1.0,1.0,2.0,2.0,train
2020-09-24-1,969901776s255ms.jpg,969901776s255ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329082s691ms.jpg,970329082s691ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328983s692ms.jpg,970328983s692ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325898s804ms.jpg,970325898s804ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902962s239ms.jpg,969902962s239ms.png,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902586s230ms.jpg,969902586s230ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905031s180ms.jpg,969905031s180ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970329263s705ms.jpg,970329263s705ms.png,0.0,1.0,1.0,2.0,train
2020-10-02-10-17-05-3,970588114s268ms.jpg,970588114s268ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325889s795ms.jpg,970325889s795ms.png,1.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970325530s803ms.jpg,970325530s803ms.png,0.0,1.0,1.0,2.0,train
2020-09-24-3,969905034s183ms.jpg,969905034s183ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902362s240ms.jpg,969902362s240ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328676s685ms.jpg,970328676s685ms.png,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-3,970329036s712ms.jpg,970329036s712ms.png,0.0,0.0,0.0,0.0,train
2020-07-28-06-01-11,964868807s726ms.jpg,964868807s726ms.png,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-1,970325858s797ms.jpg,970325858s797ms.png,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-3,970328590s699ms.jpg,970328590s699ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329158s700ms.jpg,970329158s700ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325484s790ms.jpg,970325484s790ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328545s688ms.jpg,970328545s688ms.png,0.0,1.0,1.0,1.0,train
2020-09-24-1,969902055s233ms.jpg,969902055s233ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-2,970326935s225ms.jpg,970326935s225ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-2,970328184s206ms.jpg,970328184s206ms.png,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-2,970327015s205ms.jpg,970327015s205ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326509s781ms.jpg,970326509s781ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-2,970327047s204ms.jpg,970327047s204ms.png,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329188s697ms.jpg,970329188s697ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969904823s172ms.jpg,969904823s172ms.png,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-1,970326126s798ms.jpg,970326126s798ms.png,1.0,1.0,2.0,3.0,train
2020-09-24-1,969902290s235ms.jpg,969902290s235ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902563s241ms.jpg,969902563s241ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902666s244ms.jpg,969902666s244ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902412s257ms.jpg,969902412s257ms.png,1.0,1.0,1.0,2.0,train
2020-09-24-1,969902146s258ms.jpg,969902146s258ms.png,0.0,0.0,0.0,0.0,train
2020-10-02-10-17-05-3,970588179s266ms.jpg,970588179s266ms.png,1.0,1.0,1.0,2.0,train
2020-09-24-3,969904784s166ms.jpg,969904784s166ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328467s710ms.jpg,970328467s710ms.png,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-1,970326066s805ms.jpg,970326066s805ms.png,0.0,1.0,1.0,1.0,train
2020-10-02-10-17-05-3,970588330s250ms.jpg,970588330s250ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-2,970327023s213ms.jpg,970327023s213ms.png,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-3,970328934s710ms.jpg,970328934s710ms.png,0.0,1.0,1.0,1.0,train
2020-07-28-06-01-11,964869508s726ms.jpg,964869508s726ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328798s707ms.jpg,970328798s707ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328968s710ms.jpg,970328968s710ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325681s787ms.jpg,970325681s787ms.png,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902573s251ms.jpg,969902573s251ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325620s793ms.jpg,970325620s793ms.png,0.0,1.0,1.0,1.0,train
2020-09-24-3,969904989s171ms.jpg,969904989s171ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326354s793ms.jpg,970326354s793ms.png,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-1,970326661s800ms.jpg,970326661s800ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328444s687ms.jpg,970328444s687ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325524s797ms.jpg,970325524s797ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328589s698ms.jpg,970328589s698ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-2,970326974s231ms.jpg,970326974s231ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902845s256ms.jpg,969902845s256ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328708s717ms.jpg,970328708s717ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905058s173ms.jpg,969905058s173ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325862s801ms.jpg,970325862s801ms.png,1.0,2.0,3.0,3.0,train
2020-09-29-09-46-42-3,970329098s707ms.jpg,970329098s707ms.png,0.0,0.0,0.0,0.0,train
2020-09-24-3,969905510s192ms.jpg,969905510s192ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325964s803ms.jpg,970325964s803ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-2,970328220s209ms.jpg,970328220s209ms.png,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-3,970328997s706ms.jpg,970328997s706ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326717s789ms.jpg,970326717s789ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325584s790ms.jpg,970325584s790ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969904817s166ms.jpg,969904817s166ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328900s709ms.jpg,970328900s709ms.png,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902245s256ms.jpg,969902245s256ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969904936s185ms.jpg,969904936s185ms.png,1.0,2.0,3.0,3.0,train
2020-09-29-09-46-42-1,970325664s804ms.jpg,970325664s804ms.png,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-3,970328877s686ms.jpg,970328877s686ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-3,969904895s177ms.jpg,969904895s177ms.png,0.0,1.0,1.0,2.0,train
2020-09-24-3,969905074s189ms.jpg,969905074s189ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-2,970327003s226ms.jpg,970327003s226ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902150s228ms.jpg,969902150s228ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325851s790ms.jpg,970325851s790ms.png,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-1,970325991s797ms.jpg,970325991s797ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902123s235ms.jpg,969902123s235ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-3,969904920s169ms.jpg,969904920s169ms.png,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326216s788ms.jpg,970326216s788ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326036s809ms.jpg,970326036s809ms.png,0.0,1.0,1.0,2.0,train
2020-10-02-10-17-05-3,970588217s271ms.jpg,970588217s271ms.png,0.0,0.0,0.0,0.0,train
